feature,importance
pH_abs_dev,0.2108967656993991
pH_dev_sq,0.16694264185133623
performance_index,0.07868449094626541
optimal_pH_score,0.05232596335366927
pH,0.04977674415853282
pH_dev,0.047784849815716006
pH_optimal,0.04539356743195789
pH_gaussian,0.04398394351818416
ion_pH_interaction,0.0282993942880905
fouling_impact,0.018499971434699773
ion_ratio,0.015442990803314662
Dose,0.015091380225015877
log_Dose,0.01467323138946823
Flow,0.014663766434905579
adsorbent_excess,0.014561721496455822
pH_Dose_interaction,0.014555676185515733
Chloride,0.013162774462588707
Carbonate,0.011779076053574658
log_C0,0.011706906401774762
C0,0.011434667268309447
flow_time_product,0.009841994386571769
pH_Temp_interaction,0.009660591300039779
Temp,0.009659927747744877
C0_Flow_interaction,0.009017145399459324
pH_Time_interaction,0.008878372408143601
Hardness,0.008679030082841344
Temp_Time_interaction,0.008629119831578514
Time,0.007608861913860723
equilibrium_indicator,0.007320858642132725
C0_Dose_ratio,0.007306717655200778
log_Time,0.006797955230954664
stress_indicator,0.0054222813285518786
log_ion_strength,0.005389317602507006
ion_strength,0.00507633848221754
log_NOM,0.004452941776325936
NOM,0.00406524582645505
optimal_conditions,0.0025156467665277816
high_perf_flag,1.7130400112140228e-05
